Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,YTD Return,Expense Ratio (net),Category,Last Cap Gain,Morningstar Rating,Morningstar Risk Rating,Sustainability Rating
REG,59.51,59.95,51.70 x 800,85.00 x 900,59.95 - 61.27,51.97 - 73.41,"1,107,989","972,011",,,,,,,
PNW,79.09,79.17,51.57 x 1200,85.66 x 800,78.47 - 79.69,59.03 - 80.60,"796,484","974,835",,,,,,,
PNR,53.76,54.15,40.00 x 900,69.50 x 1100,53.89 - 55.39,38.55 - 60.85,"1,366,928","1,702,754",,,,,,,
AOS,67.90,68.46,68.06 x 1000,70.31 x 800,68.15 - 69.20,46.58 - 71.87,"973,058","1,185,380",,,,,,,
ROL,37.20,37.29,30.00 x 800,59.84 x 1000,37.22 - 37.58,31.43 - 43.06,"2,496,795","1,351,083",,,,,,,
RHI,77.95,78.50,75.82 x 1000,81.87 x 900,78.18 - 80.78,65.40 - 118.41,"1,036,145","1,006,000",,,,,,,
FFIV,143.26,143.84,144.00 x 1000,148.00 x 900,143.57 - 146.21,133.68 - 215.28,"477,756","516,669",,,,,,,
XRAY,38.56,38.77,39.30 x 1400,40.67 x 900,38.77 - 39.31,26.48 - 49.38,"1,864,470","2,114,656",,,,,,,
BBWI,36.27,36.21,35.66 x 3000,37.65 x 900,35.91 - 36.68,25.75 - 58.17,"2,979,357","3,121,401",,,,,,,
HII,206.97,208.15,202.27 x 900,207.82 x 900,206.21 - 208.73,194.36 - 260.02,"573,423","424,727",,,,,,,
UHS,125.00,125.79,126.74 x 1000,128.00 x 900,125.25 - 127.29,82.50 - 158.28,"485,730","648,174",,,,,,,
NRG,33.45,33.58,32.91 x 1000,34.60 x 1400,33.41 - 34.33,30.25 - 47.82,"3,529,329","4,260,475",,,,,,,
WRK,29.84,30.06,26.00 x 900,33.80 x 1400,29.97 - 30.50,26.84 - 54.78,"1,871,729","2,369,403",,,,,,,
BEN,26.26,26.51,26.52 x 800,26.95 x 1000,26.45 - 26.99,20.24 - 34.37,"2,742,938","4,020,625",,,,,,,
BXP,53.30,53.65,53.25 x 1000,54.94 x 800,52.59 - 54.15,46.18 - 130.48,"2,803,686","1,745,132",,,,,,,
VFC,22.22,22.39,22.85 x 2200,22.95 x 1100,22.20 - 22.93,20.03 - 58.88,"6,747,942","8,702,562",,,,,,,
IVZ,16.11,16.24,16.03 x 3000,16.70 x 1400,16.17 - 16.42,13.20 - 23.64,"3,414,366","5,300,622",,,,,,,
AAP,118.61,119.90,121.20 x 1100,121.88 x 3100,119.65 - 121.74,109.05 - 231.43,"1,029,242","1,354,343",,,,,,,
WHR,128.70,129.25,131.60 x 900,132.40 x 800,129.32 - 132.07,124.10 - 199.07,"456,745","758,770",,,,,,,
FRT,95.44,96.07,89.94 x 800,102.26 x 1100,96.19 - 98.98,86.43 - 128.13,"779,993","574,183",,,,,,,
GNRC,111.97,108.00,107.11 x 1100,108.36 x 1300,103.11 - 109.50,86.29 - 328.60,"3,561,732","1,355,654",,,,,,,
HAS,52.36,52.97,52.20 x 900,54.40 x 900,52.47 - 53.77,45.75 - 94.22,"2,110,901","2,048,666",,,,,,,
NWSA,16.97,17.04,15.59 x 2200,17.33 x 4000,16.98 - 17.29,14.87 - 22.20,"2,158,738","2,890,556",,,,,,,
SEE,44.40,44.70,44.93 x 1300,46.89 x 900,44.51 - 45.98,41.24 - 69.97,"895,616","1,128,595",,,,,,,
AIZ,118.65,119.48,89.68 x 900,127.00 x 900,118.84 - 120.59,104.49 - 194.12,"476,213","434,690",,,,,,,
OGN,23.09,23.26,23.12 x 1000,23.99 x 800,23.23 - 23.58,20.96 - 39.09,"2,199,473","2,191,291",,,,,,,
CMA,44.06,44.58,43.20 x 900,44.00 x 800,42.52 - 44.89,29.17 - 91.33,"3,238,781","3,278,958",,,,,,,
DXC,25.06,25.21,24.94 x 800,26.19 x 900,25.21 - 25.58,22.46 - 36.00,"1,477,650","1,669,353",,,,,,,
NCLH,13.27,13.35,13.45 x 1300,13.48 x 3000,13.20 - 13.46,10.31 - 23.43,"11,638,085","15,029,024",,,,,,,
